Nom commun;Nom scientifique;Type;Description générale;Hauteur cm;Largeur cm;Plantes compagnons;Utilisation;pH;Humidité;Exposition;Feuillage;Port;Racines;Ecologie;Usages paysagers;Engrais;Floraison;Couleur fleur;Fructification;Toxique;Remarques
Achillée millefeuille;Achillea millefolium;Vivace;Vivace rustique aromatique attirant les pollinisateurs.;40-80;30-50;Lavande, Sauge;Massif, prairie fleurie;6.0-7.5;Modérée;Soleil;Caduc;Dressé;Rhizomateuses;Mellifère;Prairie naturaliste, bordure libre;Faible;Juin-Septembre;Blanc à rose;Non;Non;Tailler après floraison pour stimuler la repousse.
Lavande vraie;Lavandula angustifolia;Arbrisseau;Arbrisseau méditerranéen très parfumé.;40-60;60-80;Romarin, Thym;Massif sec, bordure;6.5-8.0;Faible;Soleil;Persistant;Arrondi;Pivotante;Xérophyte;Massif aromatique, potée;Modéré;Juin-Août;Violet;Non;Non;Éviter l'excès d'humidité.
Saule arbustif;Salix purpurea 'Nana';Arbuste;Arbuste compact adapté aux zones humides.;120-200;120-200;Cornouiller, Iris des marais;Bord de bassin, haie libre;5.5-7.0;Élevée;Soleil à mi-ombre;Caduc;Étendu;Traçantes;Ripisylve;Bord d'eau, écran;Élevé;Mars-Avril;Chatons argentés;Oui;Non;Tailler court en hiver.
Campanule des murs;Campanula portenschlagiana;Vivace;Vivace tapissante pour murs et rocailles.;10-15;30-40;Sédum, Saxifrage;Rocaille, muret;6.0-7.5;Modérée;Soleil à mi-ombre;Persistant;Tapissant;Fasciculées;Montagnarde;Muret fleuri, jardinière;Faible;Mai-Juillet;Bleu-violet;Non;Non;Tolère le calcaire léger.
Hosta 'Francee';Hosta fortunei 'Francee';Vivace;Vivace d'ombre aux grandes feuilles panachées.;45-60;60-90;Fougère, Astilbe;Sous-bois, massif ombragé;6.0-7.5;Élevée;Ombre à mi-ombre;Caduc;Touffe;Rhizomateuses;Humifère;Massif d'ombre, bac;Modéré;Juin-Juillet;Lavande pâle;Non;Non;Protéger des limaces.
Heuchère pourpre;Heuchera micrantha 'Palace Purple';Vivace;Foliage persistant décoratif, fleurs légères.;40-60;45-60;Hosta, Carex;Massif mi-ombre;5.5-7.5;Modérée;Mi-ombre;Semi-persistant;Touffe;Fasciculées;Lisière forestière;Bordure, potée;Modéré;Juin-Août;Blanc crème;Non;Non;Feuillage décoratif toute l'année.
Gaura lindheimeri;Gaura lindheimeri;Vivace;Vivace légère à floraison prolongée.;60-90;60-80;Verveine, Sauge;Massif, potée;5.5-7.0;Faible à modérée;Soleil;Caduc;Aérien;Pivotante;Prairie sèche;Massif léger, mixed-border;Faible;Juin-Octobre;Blanc rosé;Non;Non;Rabattre en fin d'hiver.
Penstemon digitalis;Penstemon digitalis;Vivace;Vivace dressée à fleurs tubulaires.;80-120;40-60;Achillée, Echinacée;Massif, prairie;5.5-7.0;Modérée;Soleil;Semi-persistant;Dressé;Pivotante;Prairie humide;Massif naturaliste;Modéré;Juin-Juillet;Blanc rosé;Non;Non;Apprécié des pollinisateurs.
Echinacée pourpre;Echinacea purpurea;Vivace;Grande vivace médicinale.;80-140;40-60;Gaura, Rudbeckia;Massif, prairie;6.0-7.5;Modérée;Soleil;Caduc;Dressé;Pivotante;Prairie nord-américaine;Massif médicinal, prairie fleurie;Modéré;Juillet-Septembre;Rose pourpre;Non;Non;Attire abeilles et papillons.
Amsonie bleue;Amsonia tabernaemontana;Vivace;Vivace élégante à floraison bleue.;80-100;60-90;Hosta, Fougère;Massif mi-ombre;6.0-7.5;Modérée;Mi-ombre;Caduc;Touffe;Rhizomateuses;Berges forestières;Massif d'ombre claire;Faible;Mai-Juin;Bleu pâle;Non;Non;Feuillage doré en automne.
Agastache fenouil;Agastache foeniculum;Vivace;Vivace aromatique mellifère.;90-120;45-60;Echinacée, Monarde;Massif ensoleillé;6.0-7.5;Faible à modérée;Soleil;Caduc;Dressé;Pivotante;Prairie sèche;Massif aromatique, potager;Modéré;Juillet-Septembre;Violet;Non;Non;Supporte la sécheresse légère.
Monarde fistuleuse;Monarda fistulosa;Vivace;Vivace parfumée aimant les sols frais.;80-120;60-90;Agastache, Rudbeckia;Massif, prairie humide;5.5-7.0;Élevée;Soleil à mi-ombre;Caduc;Touffe;Traçantes;Prairie humide;Massif naturaliste, plate-bande;Modéré;Juin-Août;Rose mauve;Non;Non;Tailler après floraison pour limiter l'oïdium.
